endereco,preco,quartos,metragem,vagas
"Rua DAYSE FANSTONE, CIDADE UNIVERSITARIA, ANAPOLIS",280.000,2,57 m²,1 Vaga
"Rua JACARANDA, RESIDENCIAL ARAUJOVILLE, ANAPOLIS",530.000,3,93 m²,2 Vagas
"AVENIDA FABRIL, VILA FABRIL, ANAPOLIS",230.000,2,48 m²,1 Vaga
"Rua CARLINHOS JOSE RIBEIRO, VILA JAIARA, ANAPOLIS",410.000,3,74 m²,2 Vagas
"AVENIDA PLANALTO, VILA JAIARA, ANAPOLIS",210.000,2,43 m²,1 Vaga
"AVENIDA DOM BOSCO, MARACANA, ANAPOLIS",240.000,3,68 m²,1 Vaga
"Rua DAYSE FANSTONE, CIDADE UNIVERSITARIA, ANAPOLIS",340.000,3,96 m²,2 Vagas
"Rua BRAZ CORDEIRO DE MORAIS, VILA INDUSTRIAL, ANAPOLIS",430.000,3,147 m²,2 Vagas
"Rua DESEMBARGADOR VICENTE MIGUEL, JUNDIAI, ANAPOLIS",475.000,3,86 m²,2 Vagas
"Rua BENJAMIN CONSTANT, SETOR CENTRAL, ANAPOLIS",450.000,3,130 m²,1 Vaga
"Rua 05, CIDADE JARDIM, ANAPOLIS",380.000,3,76 m²,1 Vaga
"Rua 02, ELDORADO, ANAPOLIS",360.000,2,68 m²,2 Vagas
"Rua DOUTOR BERNARDO SAYAO, CIDADE UNIVERSITARIA, ANAPOLIS",220.000,1,37 m²,1 Vaga
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",750.000,3,89 m²,2 Vagas
"Rua Gurupi, VILA JAYARA, ANAPOLIS",250.000,2,49 m²,1 Vaga
"Rua BRASIL (VILA CELINA), JUNDIAI, ANAPOLIS",300.000,2,55 m²,1 Vaga
"Rua FIRMO DE VELASCO, SETOR CENTRAL, ANAPOLIS",230.000,2,53 m²,1 Vaga
"PRACA SANTOS DUMONT, VILA JUSSARA, ANAPOLIS",230.000,1,27 m²,1 Vaga
"AVENIDA JUSCELINO KUBITSCHEK, JUNDIAI, ANAPOLIS",390.000,3,93 m²,2 Vagas
"AVENIDA BERNARDO SAYAO, VILA JAIARA, ANAPOLIS",350.000,3,82 m²,
"Avenida Alvorada, CHACARAS AMERICANAS, ANAPOLIS",180.000,2,48 m²,1 Vaga
"Rua 06, CHACARAS COLORADO, ANAPOLIS",280.000,3,79 m²,1 Vaga
"Rua FRANCISCO DA LUZ BASTOS, JUNDIAI, ANAPOLIS",2.000.000,4,382 m²,3 Vagas
"AVENIDA JOAO VIEIRA, JARDIM PROGRESSO, ANAPOLIS",230.000,2,51 m²,1 Vaga
"Rua INACIO DE BASTOS, JUNDIAI, ANAPOLIS",950.000,3,126 m²,2 Vagas
"AVENIDA SENADOR RAMOS CAIADO, MARACANA, ANAPOLIS",598.000,3,135 m²,3 Vagas
"Estrada Municipal Ans 08, RESIDENCIAL CIDADE INDUSTRIAL, ANAPOLIS",280.000,1,37 m²,
"Rua F, CIDADE JARDIM, ANAPOLIS",425.000,2,107 m²,2 Vagas
"Rua DOM EMANUEL, MARACANA, ANAPOLIS",260.000,3,77 m²,1 Vaga
"Travessa PINA JUNIOR, SETOR CENTRAL, ANAPOLIS",340.000,3,87 m²,1 Vaga
"Rua Presidente Kennedy, JUNDIAI, ANAPOLIS",800.000,3,99 m²,2 Vagas
"Rua 14, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",285.000,1,37 m²,1 Vaga
"Rua EVANGELINO MEIRELES, JUNDIAI, ANAPOLIS",800.000,3,126 m²,2 Vagas
"AVENIDA CONTORNO, RESIDENCIAL BELA VISTA, ANAPOLIS",210.000,2,42 m²,1 Vaga
"Rua AMARO PIRES, JUNDIAI, ANAPOLIS",200.000,3,73 m²,1 Vaga
"Avenida Ayrton Senna, VILA GOIS, ANAPOLIS",240.000,2,54 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",1.400.000,3,131 m²,2 Vagas
"Rua DOUTOR VITAL BRASIL, CIDADE UNIVERSITARIA, ANAPOLIS",210.000,1,25 m²,
"Rua NOVA OLINDA, JARDIM ALEXANDRINA, ANAPOLIS",230.000,2,40 m²,1 Vaga
"Avenida Ferroviária, VILA FORMOSA, ANAPOLIS",239.000,2,62 m²,1 Vaga
"Rua DOUTOR VITAL BRASIL, CIDADE UNIVERSITARIA, ANAPOLIS",230.000,1,25 m²,
"Rua JP 39, JARDIM PRIMAVERA 2 ETAPA, ANAPOLIS",347.000,3,99 m²,2 Vagas
"Rua CARLINHOS JOSE RIBEIRO, VILA JAIARA, ANAPOLIS",340.000,3,77 m²,2 Vagas
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",780.000,3,97 m²,2 Vagas
"Rua AVELAR, VILA SANTA ISABEL, ANAPOLIS",260.000,2,60 m²,1 Vaga
"Rua VITOR DE AZEVEDO, JUNDIAI, ANAPOLIS",730.000,3,79 m²,2 Vagas
"Rua JOAQUIM PROPICIO DE PINA, JUNDIAI, ANAPOLIS",800.000,4,190 m²,2 Vagas
"AVENIDA PLANALTO, VILA JAIARA, ANAPOLIS",220.000,2,41 m²,1 Vaga
